date,open,high,low,close,volume
2023-12-06,3387.88,3420.277,3382.946,3399.598,10580551900
2023-12-07,3394.306,3404.407,3369.768,3391.282,9771324800
2023-12-08,3391.859,3409.385,3383.448,3399.462,12952205400
2023-12-11,3378.052,3426.611,3346.89,3419.455,13962624900
2023-12-12,3409.998,3427.546,3406.101,3426.803,10559001300
2023-12-13,3418.641,3418.641,3369.605,3369.605,9528536700
2023-12-14,3387.385,3399.139,3350.765,3351.964,8365513500
2023-12-15,3365.939,3388.505,3339.519,3341.552,9778778300
2023-12-18,3329.191,3352.346,3314.91,3329.366,9052682600
2023-12-19,3325.66,3345.78,3313.187,3334.041,8380811800
2023-12-20,3334.332,3338.543,3297.365,3297.502,9241286800
2023-12-21,3285.605,3339.355,3283.988,3330.87,10254619800
2023-12-22,3329.467,3359.06,3315.898,3337.228,10522013300
2023-12-25,3330.333,3348.882,3330.333,3347.451,7454269300
2023-12-26,3345.395,3345.417,3315.937,3324.79,7473293500
2023-12-27,3326.927,3341.266,3309.673,3336.357,9440392800
2023-12-28,3335.557,3423.402,3331.208,3414.54,14806485100
